0	4612	8634
1	2952	9685
2	4971	6416
3	1543	132
4	9141	8760
5	8324	8747
6	1235	4046
7	5846	5309
8	461	9608
9	892	6363
10	2881	7851
11	1611	1944
12	7899	1617
13	4896	6143
14	1818	3771
15	995	3656
16	970	8207
17	7721	94
18	6062	9552
19	1118	2170
20	9658	8046
21	988	728
22	8675	9827
23	5931	6892
24	4392	6844
25	4421	3848
26	8549	2277
27	605	8653
28	4916	8919
29	5308	6184
30	5875	2673
31	1603	3598
32	4570	2885
33	3871	3949
34	5212	5739
35	6743	8346
36	3484	2920
37	14	8921
38	1426	2787
39	4606	1880
40	2005	677
41	9537	7665
42	4680	5145
43	6222	8334
44	3531	5117
45	9292	682
46	490	8582
47	7107	6901
48	5259	4661
49	6403	9524
50	7036	8105
51	5547	2118
52	8857	6499
53	6333	4021
54	461	1421
55	7373	5681
56	5550	5663
57	5183	6670
58	7572	3786
59	3748	4282
60	9194	4722
61	2160	555
62	9931	8515
63	6488	7735
64	8831	6198
65	6633	7818
66	7228	6706
67	7335	7752
68	854	3771
69	3094	3809
70	8199	375
71	3040	4840
72	5904	3663
73	8757	4921
74	4599	3610
75	6346	4243
76	327	8258
77	409	8406
78	7838	2483
79	4561	187
80	4080	8720
81	2081	254
82	1863	3286
83	6075	6187
