0	65	360
1	44	261
2	139	235
3	161	180
4	241	202
5	387	193
6	339	498
7	252	480
8	19	93
9	479	273
10	90	395
11	169	411
12	272	440
13	156	254
14	40	107
15	479	366
16	48	510
17	223	356
18	450	208
19	482	344
20	133	267
21	288	316
22	213	253
23	167	411
24	86	7
25	153	91
26	236	123
27	513	420
28	356	276
29	336	494
30	362	61
31	204	158
32	337	305
33	94	479
34	355	354
35	442	228
36	37	505
37	402	335
38	34	142
39	307	97
40	235	486
41	177	442
42	323	223
43	129	336
44	37	8
45	266	216
46	478	175
47	334	221
48	334	19
49	401	61
50	266	69
51	177	74
52	403	56
53	331	279
54	54	132
55	104	309
56	1	94
57	276	405
58	80	454
59	467	290
60	459	23
61	180	5
62	475	51
63	515	468
64	262	50
65	475	213
66	2	60
67	515	21
68	365	463
69	379	450
70	140	412
71	310	466
72	432	266
73	308	466
74	65	66
75	513	163
76	489	72
77	80	204
78	388	498
79	355	53
80	497	365
81	115	453
82	301	358
83	310	409
489
